title,company_era,developer,series,genre,subgenre,dimension,platform,platform_family,platform_type,release_year,region,sales,gross_revenue,critic_score,user_score,exclusivity_status,nintendo_relationship_era,japan_only
Source,Square Enix,Unknown,Standalone,Misc,,Unknown,PC,PC,PC,2015.0,PAL,,,65.0,,Multiplatform,N/A,False
Source,Square Enix,Unknown,Standalone,Misc,,Unknown,PS4,PlayStation,Home Console,2015.0,JP,,,65.0,,Multiplatform,N/A,False
Source,Square Enix,Unknown,Standalone,Misc,,Unknown,PS4,PlayStation,Home Console,2015.0,NA,,,65.0,,Multiplatform,N/A,False
Source,Square Enix,Unknown,Standalone,Misc,,Unknown,PS4,PlayStation,Home Console,2015.0,Other,,,65.0,,Multiplatform,N/A,False
Source,Square Enix,Unknown,Standalone,Misc,,Unknown,PS4,PlayStation,Home Console,2015.0,PAL,,,65.0,,Multiplatform,N/A,False
Source,Square Enix,Unknown,Standalone,Misc,,Unknown,Xbox One,Microsoft,Home Console,2015.0,JP,,,65.0,,Multiplatform,N/A,False
Source,Square Enix,Unknown,Standalone,Misc,,Unknown,Xbox One,Microsoft,Home Console,2015.0,NA,,,65.0,,Multiplatform,N/A,False
Source,Square Enix,Unknown,Standalone,Misc,,Unknown,Xbox One,Microsoft,Home Console,2015.0,Other,,,65.0,,Multiplatform,N/A,False
Source,Square Enix,Unknown,Standalone,Misc,,Unknown,Xbox One,Microsoft,Home Console,2015.0,PAL,,,65.0,,Multiplatform,N/A,False
Space Bust-A-Move,Square Enix,Lancarse,Standalone,Puzzle,,Unknown,DS,Nintendo,Handheld,2009.0,JP,,,,,Exclusive,Post-Merger,False
Space Bust-A-Move,Square Enix,Lancarse,Standalone,Puzzle,,Unknown,DS,Nintendo,Handheld,2009.0,NA,0.1,,,,Exclusive,Post-Merger,False
Space Bust-A-Move,Square Enix,Lancarse,Standalone,Puzzle,,Unknown,DS,Nintendo,Handheld,2009.0,Other,0.01,,,,Exclusive,Post-Merger,False
Space Bust-A-Move,Square Enix,Lancarse,Standalone,Puzzle,,Unknown,DS,Nintendo,Handheld,2009.0,PAL,0.02,,,,Exclusive,Post-Merger,False
Space Bust-A-Move (JP sales),Square Enix,Taito Corporation,Standalone,Puzzle,,Unknown,DS,Nintendo,Handheld,2009.0,JP,0.0,,,,Exclusive,Post-Merger,False
Space Bust-A-Move (JP sales),Square Enix,Taito Corporation,Standalone,Puzzle,,Unknown,DS,Nintendo,Handheld,2009.0,NA,,,,,Exclusive,Post-Merger,False
Space Bust-A-Move (JP sales),Square Enix,Taito Corporation,Standalone,Puzzle,,Unknown,DS,Nintendo,Handheld,2009.0,Other,,,,,Exclusive,Post-Merger,False
Space Bust-A-Move (JP sales),Square Enix,Taito Corporation,Standalone,Puzzle,,Unknown,DS,Nintendo,Handheld,2009.0,PAL,,,,,Exclusive,Post-Merger,False
